designation,A,B,t,n,d,dh,p,e,capacity,failure,Nr
ISA  200200,200.0,200.0,12.0,2,12.0,13.0,40.0,25.0,546.0,Failure governed by Block Shear,2
ISA  200200,200.0,200.0,15.0,2,12.0,13.0,40.0,25.0,683.0,Failure governed by Block Shear,2
ISA  200200,200.0,200.0,18.0,2,12.0,13.0,40.0,25.0,820.0,Failure governed by Block Shear,2
ISA  200200,200.0,200.0,25.0,2,12.0,13.0,40.0,25.0,1138.0,Failure governed by Block Shear,2
ISA  200200,200.0,200.0,12.0,2,12.0,13.0,40.0,25.0,437.0,Failure governed by Block Shear,1
ISA  200200,200.0,200.0,15.0,2,12.0,13.0,40.0,25.0,547.0,Failure governed by Block Shear,1
ISA  200200,200.0,200.0,18.0,2,12.0,13.0,40.0,25.0,656.0,Failure governed by Block Shear,1
ISA  200200,200.0,200.0,25.0,2,12.0,13.0,40.0,25.0,911.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,10.0,2,12.0,13.0,0.0,0.0,293.0,Failure governed by Block Shear,2
ISA 150150,150.0,150.0,12.0,2,12.0,13.0,0.0,0.0,352.0,Failure governed by Block Shear,2
ISA 150150,150.0,150.0,15.0,2,12.0,13.0,0.0,0.0,440.0,Failure governed by Block Shear,2
ISA 150150,150.0,150.0,18.0,2,12.0,13.0,0.0,0.0,528.0,Failure governed by Block Shear,2
ISA 150150,150.0,150.0,10.0,2,12.0,13.0,40.0,25.0,214.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,2,12.0,13.0,40.0,25.0,257.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,12.0,13.0,40.0,25.0,312.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,4,12.0,13.0,40.0,25.0,367.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,5,12.0,13.0,40.0,25.0,422.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,6,12.0,13.0,40.0,25.0,478.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,7,12.0,13.0,40.0,25.0,533.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,8,12.0,13.0,40.0,25.0,588.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,2,14.0,15.0,50.0,30.0,281.0,Failure governed by Block Shear,1
ISA 150150,150.0,150.0,12.0,3,14.0,15.0,50.0,30.0,353.0,Failure governed by Block Shear,1
